alpha,beta,gamma,auroc_obs,auroc_patient
0.3,1.0,0.7,0.6652879254579294,0.8001023096253609
0.3,1.0,0.8,0.6657423811125518,0.8010075504695454
0.3,1.0,0.9,0.66508058717268,0.8015359067911012
0.3,1.0,1.0,0.6620290304667216,0.8016323734438363
0.3,1.5,0.1,0.6562778824047677,0.7810029098677065
0.3,1.5,0.2,0.6575666971679219,0.7820917717248634
0.3,1.5,0.3,0.6589010750442242,0.783316579103744
0.3,1.5,0.4,0.6602582325094002,0.7846506426878987
0.3,1.5,0.5,0.6615979084348829,0.7860231610881511
0.3,1.5,0.6,0.6628390387543643,0.7874599851313597
0.3,1.5,0.7,0.6638318143907331,0.7888605043503779
0.3,1.5,0.8,0.6642934015918005,0.790209523015754
0.3,1.5,0.9,0.6636497235197282,0.7914139758069187
0.3,1.5,1.0,0.6606451296534508,0.7925860292305082
0.3,2.0,0.1,0.6548927548701351,0.7692437615924002
0.3,2.0,0.2,0.6561859055917024,0.770459959154788
0.3,2.0,0.3,0.6575242199454946,0.7718455523429186
0.3,2.0,0.4,0.6588862195294924,0.7733516819694256
0.3,2.0,0.5,0.6602317213792682,0.7749311979685429
0.3,2.0,0.6,0.661480025218893,0.7766277748638202
0.3,2.0,0.7,0.662484314111627,0.7783926582170573
0.3,2.0,0.8,0.6629648811706412,0.7802614099502858
0.3,2.0,0.9,0.6623537084839151,0.7822252352944944
0.3,2.0,1.0,0.6594123108431459,0.7845898244210661
0.3,2.5,0.1,0.6535948919947244,0.7583529196968735
0.3,2.5,0.2,0.6548902966718,0.7597186485264401
0.3,2.5,0.3,0.6562335045355141,0.7612863988732141
0.3,2.5,0.4,0.6576026048585639,0.7629783350826699
0.3,2.5,0.5,0.65895663912844,0.764796490143728
0.3,2.5,0.6,0.6602172072812569,0.766780704584853
0.3,2.5,0.7,0.6612389361973692,0.768926320847362
0.3,2.5,0.8,0.6617454058961586,0.7713702162395674
0.3,2.5,0.9,0.6611748921777676,0.7741656821670198
0.3,2.5,1.0,0.6583044700580275,0.7776088655183693
0.3,3.0,0.1,0.6523827315329259,0.7484489590157648
0.3,3.0,0.2,0.6536818360063781,0.7500022190103081
0.3,3.0,0.3,0.655031088649284,0.7517662122246753
0.3,3.0,0.4,0.6564080524204877,0.7536812840468574
0.3,3.0,0.5,0.6577721572430402,0.7557596436716767
0.3,3.0,0.6,0.6590473310371971,0.7580411687707969
